"Tindex","Aindex","Sindex","TAindex","TSindex","ASindex","R"
5,10,2,106,10,20,-0.0121021599719444
5,11,1,107,9,21,0.0202071840421587
5,11,2,107,10,22,-0.0202071840421587
5,12,1,108,9,23,-0.0111342250411053
5,12,2,108,10,24,0.0111342250411053
5,13,1,109,9,25,-0.0193727280516297
5,13,2,109,10,26,0.0193727280516297
5,14,1,110,9,27,-0.0151949040480867
5,14,2,110,10,28,0.0151949040480867
5,15,1,111,9,29,-0.00144877931155892
5,15,2,111,10,30,0.00144877931155892
5,16,1,112,9,31,0.0121194863578266
5,16,2,112,10,32,-0.0121194863578266
5,17,1,113,9,33,0.0103234588990129
5,17,2,113,10,34,-0.0103234588990129
5,18,1,114,9,35,0.0104959756817222
5,18,2,114,10,36,-0.0104959756817222
5,19,1,115,9,37,0.00986051946598995
5,19,2,115,10,38,-0.00986051946598995
5,20,1,116,9,39,-0.00425127077143952
5,20,2,116,10,40,0.00425127077143952
5,21,1,117,9,41,-0.0118773929306578
5,21,2,117,10,42,0.0118773929306578
5,22,1,118,9,43,-0.0067889945977552
5,22,2,118,10,44,0.0067889945977552
5,23,1,119,9,45,-0.0355663063545651
5,23,2,119,10,46,0.0355663063545651
5,24,1,120,9,47,0.177880942239983
5,24,2,120,10,48,-0.177880942239983
6,1,1,121,11,1,-0.00145400012436589
6,1,2,121,12,2,0.0014540001243659
6,2,1,122,11,3,0.000121433901648343
6,2,2,122,12,4,-0.000121433901648343
6,3,1,123,11,5,-0.000435528974254071
6,3,2,123,12,6,0.000435528974254071
6,4,1,124,11,7,0.0121003078442733
6,4,2,124,12,8,-0.0121003078442733
6,5,1,125,11,9,-0.0114734853512966
6,5,2,125,12,10,0.0114734853512966
6,6,1,126,11,11,-0.00507013896694108
6,6,2,126,12,12,0.00507013896694108
6,7,1,127,11,13,-0.0116994744502359
6,7,2,127,12,14,0.0116994744502359
6,8,1,128,11,15,-0.0196627484091861
6,8,2,128,12,16,0.0196627484091861
6,9,1,129,11,17,-0.00382015800244419
6,9,2,129,12,18,0.00382015800244419
6,10,1,130,11,19,0.0123211265790307
6,10,2,130,12,20,-0.0123211265790307
6,11,1,131,11,21,0.0293809130135684
6,11,2,131,12,22,-0.0293809130135684
6,12,1,132,11,23,-0.00345490112750567
6,12,2,132,12,24,0.00345490112750567
6,13,1,133,11,25,-0.0158439184040425
6,13,2,133,12,26,0.0158439184040425
6,14,1,134,11,27,-0.0150781965987516
6,14,2,134,12,28,0.0150781965987516
6,15,1,135,11,29,-0.0045274423048072
6,15,2,135,12,30,0.0045274423048072
6,16,1,136,11,31,0.011342648856716
6,16,2,136,12,32,-0.011342648856716
